date,sku_id,units_sold,revenue,unit_price,promo_flag,category,subcategory,launch_date,unit_cost,list_price,week,month,season,is_holiday,promo_event,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-08-07,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,32,8,Summer,0,,180.0,0.0,10.0,42.0
2024-08-08,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,32,8,Summer,0,,180.0,0.0,10.0,42.0
2024-08-09,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,32,8,Summer,0,,180.0,0.0,10.0,42.0
2024-08-10,SKU0001,2,18933.78,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,32,8,Summer,0,,180.0,0.0,10.0,42.0
2024-08-11,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,32,8,Summer,0,,180.0,0.0,10.0,42.0
2024-08-12,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,33,8,Summer,0,,180.0,0.0,10.0,42.0
2024-08-13,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,33,8,Summer,0,,180.0,0.0,10.0,42.0
2024-08-14,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,33,8,Summer,0,,180.0,0.0,10.0,42.0
2024-08-15,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,33,8,Summer,1,,151.0,0.0,10.0,42.0
2024-08-16,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,33,8,Summer,0,,151.0,0.0,10.0,42.0
2024-08-17,SKU0001,3,28400.67,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,33,8,Summer,0,,151.0,0.0,10.0,42.0
2024-08-18,SKU0001,5,47334.45,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,33,8,Summer,0,,151.0,0.0,10.0,42.0
2024-08-19,SKU0001,6,56801.34,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,34,8,Summer,0,,151.0,0.0,10.0,42.0
2024-08-20,SKU0001,7,66268.23,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,34,8,Summer,0,,151.0,0.0,10.0,42.0
2024-08-21,SKU0001,6,56801.34,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,34,8,Summer,0,,151.0,0.0,10.0,42.0
2024-08-22,SKU0001,4,37867.56,9466.89,0,Small Appliances,Blenders,2024-08-07,3884.9,9466.89,34,8,Summer,0,,117.0,0.0,10.0,42.0
