date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-08-08,SKU0001,180.0,0.0,10,42.0
2024-08-15,SKU0001,151.0,0.0,10,42.0
2024-08-22,SKU0001,117.0,0.0,10,42.0
2024-09-01,SKU0001,79.0,0.0,10,42.0
2024-09-08,SKU0001,50.0,0.0,10,42.0
2024-09-15,SKU0001,28.0,91.0,10,42.0
2024-09-22,SKU0001,95.0,0.0,10,42.0
2024-10-01,SKU0001,58.0,0.0,10,42.0
2024-10-08,SKU0001,32.0,84.0,10,42.0
2024-10-15,SKU0001,6.0,84.0,10,42.0
2024-10-22,SKU0001,50.0,0.0,10,42.0
2024-11-01,SKU0001,83.0,0.0,10,42.0
2024-11-08,SKU0001,54.0,0.0,10,42.0
2024-11-15,SKU0001,110.0,0.0,10,42.0
2024-11-22,SKU0001,77.0,0.0,10,42.0
2024-12-01,SKU0001,16.0,94.0,10,42.0
2024-12-08,SKU0001,85.0,0.0,10,42.0
2024-12-15,SKU0001,58.0,0.0,10,42.0
2024-12-22,SKU0001,28.0,94.0,10,42.0
2025-01-01,SKU0001,72.0,0.0,10,42.0
2025-01-08,SKU0001,22.0,71.0,10,42.0
2025-01-15,SKU0001,68.0,0.0,10,42.0
2025-01-22,SKU0001,39.0,85.0,10,42.0
2025-02-01,SKU0001,80.0,0.0,10,42.0
2025-02-08,SKU0001,41.0,72.0,10,42.0
2025-02-15,SKU0001,84.0,0.0,10,42.0
2025-02-22,SKU0001,49.0,0.0,10,42.0
2025-03-01,SKU0001,23.0,68.0,10,42.0
2025-03-08,SKU0001,52.0,0.0,10,42.0
2025-03-15,SKU0001,88.0,0.0,10,42.0
2025-03-22,SKU0001,45.0,0.0,10,42.0
2025-04-01,SKU0001,78.0,0.0,10,42.0
2025-04-08,SKU0001,38.0,79.0,10,42.0
2025-04-15,SKU0001,80.0,0.0,10,42.0
2025-04-22,SKU0001,39.0,65.0,10,42.0
2025-05-01,SKU0001,54.0,0.0,10,42.0
2025-05-08,SKU0001,22.0,87.0,10,42.0
2025-05-15,SKU0001,81.0,0.0,10,42.0
2025-05-22,SKU0001,48.0,0.0,10,42.0
2025-06-01,SKU0001,1.0,68.0,10,42.0
2025-06-08,SKU0001,45.0,0.0,10,42.0
2025-06-15,SKU0001,81.0,0.0,10,42.0
2025-06-22,SKU0001,12.0,85.0,10,42.0
2025-07-01,SKU0001,50.0,0.0,10,42.0
2025-07-08,SKU0001,18.0,82.0,10,42.0
2025-07-15,SKU0001,70.0,0.0,10,42.0
2025-07-22,SKU0001,36.0,93.0,10,42.0
2025-08-01,SKU0001,89.0,0.0,10,42.0
2025-08-08,SKU0001,58.0,0.0,10,42.0
2025-08-15,SKU0001,30.0,69.0,10,42.0
2025-08-22,SKU0001,70.0,0.0,10,42.0
2025-09-01,SKU0001,116.0,0.0,10,42.0
2025-09-08,SKU0001,87.0,0.0,10,42.0
2025-09-15,SKU0001,66.0,0.0,10,42.0
2025-09-22,SKU0001,34.0,65.0,10,42.0
2025-10-01,SKU0001,66.0,0.0,10,42.0
2025-10-08,SKU0001,34.0,81.0,10,42.0
2025-10-15,SKU0001,91.0,0.0,10,42.0
2025-10-22,SKU0001,40.0,78.0,10,42.0
2025-11-01,SKU0001,84.0,0.0,10,42.0
2025-11-08,SKU0001,56.0,0.0,10,42.0
2025-11-15,SKU0001,26.0,74.0,10,42.0
2025-11-22,SKU0001,78.0,0.0,10,42.0
2025-12-01,SKU0001,95.0,0.0,10,42.0
2025-12-08,SKU0001,65.0,0.0,10,42.0
2025-12-15,SKU0001,37.0,71.0,10,42.0
2025-12-22,SKU0001,80.0,0.0,10,42.0
2025-01-15,SKU0002,316.0,799.0,28,468.0
2025-01-22,SKU0002,204.0,799.0,28,468.0
2025-02-01,SKU0002,29.0,799.0,28,468.0
2025-02-08,SKU0002,0.0,799.0,28,468.0
2025-02-15,SKU0002,745.0,0.0,28,468.0
2025-02-22,SKU0002,601.0,0.0,28,468.0
2025-03-01,SKU0002,438.0,1099.0,28,468.0
2025-03-08,SKU0002,288.0,1099.0,28,468.0
2025-03-15,SKU0002,1243.0,0.0,28,468.0
2025-03-22,SKU0002,1106.0,0.0,28,468.0
2025-04-01,SKU0002,912.0,0.0,28,468.0
2025-04-08,SKU0002,753.0,0.0,28,468.0
2025-04-15,SKU0002,620.0,0.0,28,468.0
2025-04-22,SKU0002,488.0,0.0,28,468.0
2025-05-01,SKU0002,312.0,966.0,28,468.0
2025-05-08,SKU0002,1174.0,0.0,28,468.0
2025-05-15,SKU0002,1064.0,0.0,28,468.0
2025-05-22,SKU0002,935.0,0.0,28,468.0
2025-06-01,SKU0002,800.0,0.0,28,468.0
2025-06-08,SKU0002,703.0,0.0,28,468.0
2025-06-15,SKU0002,602.0,0.0,28,468.0
2025-06-22,SKU0002,437.0,738.0,28,468.0
2025-07-01,SKU0002,312.0,738.0,28,468.0
2025-07-08,SKU0002,999.0,0.0,28,468.0
2025-07-15,SKU0002,931.0,0.0,28,468.0
2025-07-22,SKU0002,853.0,0.0,28,468.0
2025-08-01,SKU0002,756.0,0.0,28,468.0
2025-08-08,SKU0002,721.0,0.0,28,468.0
2025-08-15,SKU0002,679.0,0.0,28,468.0
2025-08-22,SKU0002,644.0,0.0,28,468.0
2025-09-01,SKU0002,581.0,0.0,28,468.0
2025-09-08,SKU0002,534.0,0.0,28,468.0
2025-09-15,SKU0002,498.0,0.0,28,468.0
2025-09-22,SKU0002,463.0,1100.0,28,468.0
2025-10-01,SKU0002,1540.0,0.0,28,468.0
2025-10-08,SKU0002,1514.0,0.0,28,468.0
2025-10-15,SKU0002,1479.0,0.0,28,468.0
2025-10-22,SKU0002,1429.0,0.0,28,468.0
2025-11-01,SKU0002,1403.0,0.0,28,468.0
2025-11-08,SKU0002,1394.0,0.0,28,468.0
2025-11-15,SKU0002,1370.0,0.0,28,468.0
2025-11-22,SKU0002,1351.0,0.0,28,468.0
