date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-08-07,SKU0001,3,28400.67,9466.89,0
2024-08-08,SKU0001,5,47334.45,9466.89,0
2024-08-09,SKU0001,4,37867.56,9466.89,0
2024-08-10,SKU0001,2,18933.78,9466.89,0
2024-08-11,SKU0001,4,37867.56,9466.89,0
2024-08-12,SKU0001,5,47334.45,9466.89,0
2024-08-13,SKU0001,5,47334.45,9466.89,0
2024-08-14,SKU0001,5,47334.45,9466.89,0
2024-08-15,SKU0001,4,37867.56,9466.89,0
2024-08-16,SKU0001,3,28400.67,9466.89,0
2024-08-17,SKU0001,3,28400.67,9466.89,0
2024-08-18,SKU0001,5,47334.45,9466.89,0
2024-08-19,SKU0001,6,56801.34,9466.89,0
2024-08-20,SKU0001,7,66268.23,9466.89,0
2024-08-21,SKU0001,6,56801.34,9466.89,0
2024-08-22,SKU0001,4,37867.56,9466.89,0
2024-08-23,SKU0001,4,37867.56,9466.89,0
2024-08-24,SKU0001,4,37867.56,9466.89,0
2024-08-25,SKU0001,4,37867.56,9466.89,0
2024-08-26,SKU0001,4,37867.56,9466.89,0
2024-08-27,SKU0001,5,47334.45,9466.89,0
2024-08-28,SKU0001,4,37867.56,9466.89,0
2024-08-29,SKU0001,3,28400.67,9466.89,0
2024-08-30,SKU0001,3,28400.67,9466.89,0
2024-08-31,SKU0001,4,37867.56,9466.89,0
2024-09-01,SKU0001,3,28400.67,9466.89,0
2024-09-02,SKU0001,4,37867.56,9466.89,0
2024-09-03,SKU0001,5,47334.45,9466.89,0
2024-09-04,SKU0001,4,37867.56,9466.89,0
2024-09-05,SKU0001,5,47334.45,9466.89,0
2024-09-06,SKU0001,4,37867.56,9466.89,0
2024-09-07,SKU0001,2,18933.78,9466.89,0
2024-09-08,SKU0001,5,47334.45,9466.89,0
2024-09-09,SKU0001,3,28400.67,9466.89,0
2024-09-10,SKU0001,2,18933.78,9466.89,0
2024-09-11,SKU0001,3,28400.67,9466.89,0
2024-09-12,SKU0001,4,37867.56,9466.89,0
2024-09-13,SKU0001,3,28400.67,9466.89,0
2024-09-14,SKU0001,3,28400.67,9466.89,0
2024-09-15,SKU0001,4,37867.56,9466.89,0
2024-09-16,SKU0001,4,37867.56,9466.89,0
2024-09-17,SKU0001,5,47334.45,9466.89,0
2024-09-18,SKU0001,5,47334.45,9466.89,0
2024-09-19,SKU0001,5,47334.45,9466.89,0
2024-09-20,SKU0001,1,9466.89,9466.89,0
2024-09-21,SKU0001,3,28400.67,9466.89,0
2024-09-22,SKU0001,1,9466.89,9466.89,0
2024-09-23,SKU0001,4,37867.56,9466.89,0
2024-09-24,SKU0001,4,37867.56,9466.89,0
2024-09-25,SKU0001,6,56801.34,9466.89,0
