sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0001,Small Appliances,Blenders,2024-08-07,3884.9,9466.89
SKU0002,Small Appliances,Heaters,2025-01-15,3569.38,6259.75
SKU0003,Furnishings,Sofas,2025-04-08,2950.81,7634.67
SKU0004,Furnishings,Sofas,2024-10-04,427.61,1108.86
SKU0005,Small Appliances,Heaters,2024-06-26,4372.54,11682.31
SKU0006,Furnishings,Chairs,2024-08-21,340.55,607.93
SKU0007,Decor,Rugs,2025-04-28,1567.34,3204.51
SKU0008,Furnishings,Chairs,2024-03-05,2219.32,4155.21
SKU0009,Decor,Wall Art,2025-02-20,3196.15,6311.88
SKU0010,Small Appliances,Heaters,2024-07-12,1404.23,3396.82
SKU0011,Furnishings,Tables,2024-01-04,3573.12,8567.7
SKU0012,Small Appliances,Blenders,2024-08-17,2624.02,4638.63
SKU0013,Decor,Rugs,2024-08-23,2608.78,6568.9
SKU0014,Decor,Wall Art,2024-10-06,1472.18,2409.93
SKU0015,Furnishings,Sofas,2024-07-23,3862.3,7263.93
SKU0016,Furnishings,Tables,2024-05-26,3029.34,6871.87
SKU0017,decor,Rugs,2024-07-22,3690.99,6645.14
SKU0018,Furnishings,Tables,2024-12-27,2159.17,3872.53
SKU0019,Furnishings,Chairs,2024-12-14,2090.78,4301.21
SKU0020,Decor,Rugs,2024-06-29,531.28,925.28
SKU0021,Small Appliances,Blenders,2024-12-15,1306.53,3609.96
SKU0022,Decor,Lighting,2024-08-12,1334.25,2289.13
SKU0023,Decor,Lighting,2024-04-11,1480.91,3398.78
SKU0024,Small Appliances,Kettles,2025-01-14,3279.66,6948.0
SKU0025,Decor,Wall Art,2024-11-20,517.33,1085.86
SKU0026,Decor,Wall Art,2024-06-13,778.68,1342.51
SKU0027,Furnishings,Sofas,2025-04-07,2677.62,5398.73
SKU0028,Furnishings,Sofas,2025-04-24,2248.02,5708.36
SKU0029,Decor,Lighting,2024-09-02,4229.55,9669.06
SKU0030,furnishings,Tables,2024-06-14,2414.92,5135.8
SKU0031,Small Appliances,Kettles,2025-03-24,760.08,1721.46
SKU0032,Decor,Wall Art,2024-05-20,3018.49,7462.9
SKU0033,Furnishings,Chairs,2025-04-03,1151.43,1893.98
SKU0034,Furnishings,Sofas,2025-02-18,3665.89,7260.54
SKU0035,Furnishings,Chairs,2024-09-14,1263.45,3440.69
SKU0036,Furnishings,Sofas,2024-08-05,4466.83,11926.49
SKU0037,Small Appliances,Kettles,2025-03-22,2407.03,4763.79
SKU0038,Decor,Rugs,2024-07-05,560.93,1400.16
SKU0039,Small Appliances,Heaters,2024-04-30,684.0,1776.58
SKU0040,Furnishings,Chairs,2024-10-26,3954.34,7259.07
SKU0041,small appliances,Kettles,2025-04-30,2328.22,4127.18
SKU0042,Furnishings,Sofas,2024-03-06,3097.82,5409.41
SKU0043,Decor,Lighting,2024-10-17,1019.02,2613.73
SKU0044,Decor,Lighting,2024-03-06,688.33,1867.49
SKU0045,Furnishings,Sofas,2024-09-01,3033.46,8332.15
SKU0046,Small Appliances,Blenders,2024-01-13,2565.11,6055.64
SKU0047,Furnishings,Tables,2024-07-28,4353.11,10078.54
SKU0048,Small Appliances,Blenders,2024-08-21,3563.72,5778.23
SKU0049,Small Appliances,Kettles,2025-02-02,1161.99,2599.28
SKU0050,Small Appliances,Heaters,2024-10-28,1944.69,3984.71
SKU0051,Decor,Lighting,2025-03-09,2124.45,4030.95
SKU0052,Decor,Lighting,2025-02-12,607.96,1021.29
SKU0053,Furnishings,Sofas,2025-02-16,1499.96,2658.9
SKU0054,furnishings,Sofas,2024-05-22,818.22,1422.55
SKU0055,Furnishings,Sofas,2024-03-28,382.21,882.67
SKU0056,Furnishings,Tables,2024-06-07,2344.69,6213.44
SKU0057,Furnishings,Chairs,2024-03-31,1179.84,2240.83
SKU0058,Decor,Wall Art,2024-01-25,1775.22,3956.08
SKU0059,Small Appliances,Kettles,2024-01-26,4173.06,7173.22
SKU0060,Small Appliances,Kettles,2025-05-04,3638.81,9225.74
SKU0061,Small Appliances,Heaters,2024-03-08,2481.9,5502.54
SKU0062,Decor,Lighting,2024-07-11,2932.1,5628.92
SKU0063,Decor,Wall Art,2024-07-27,1161.68,2371.01
SKU0064,Furnishings,Chairs,2024-07-08,3132.98,6128.9
SKU0065,Small Appliances,Heaters,2024-08-28,1578.37,3539.53
SKU0066,Decor,Wall Art,2025-02-06,2467.34,5821.69
SKU0067,Decor,Wall Art,2024-04-11,3172.37,8352.42
SKU0068,Decor,Rugs,2024-02-17,3306.86,5626.26
SKU0069,Furnishings,Tables,2025-04-24,3633.85,8402.98
SKU0070,Small Appliances,Heaters,2025-04-18,1252.22,2890.24
SKU0071,Decor,Wall Art,2024-03-26,2607.54,5963.23
SKU0072,Decor,Lighting,2025-01-16,3626.71,7944.61
SKU0073,Small Appliances,Heaters,2024-02-29,659.4,1124.44
SKU0074,Decor,Lighting,2025-01-22,3069.86,6140.84
SKU0075,Small Appliances,Blenders,2024-05-15,1734.24,3429.16
SKU0076,Furnishings,Sofas,2025-04-13,2054.88,4233.02
SKU0077,Decor,Lighting,2025-04-13,3544.31,7709.74
SKU0078,Small Appliances,Kettles,2024-12-24,4287.7,7469.92
SKU0079,decor,Wall Art,2024-03-01,2708.92,6564.57
SKU0080,Decor,Lighting,2025-02-16,1434.81,3085.21
SKU0081,Furnishings,Chairs,2025-04-04,3548.63,6148.73
SKU0082,Small Appliances,Heaters,2024-05-21,3790.5,6548.86
SKU0083,decor,Wall Art,2024-11-21,543.42,1454.43
SKU0084,Furnishings,Chairs,2024-03-12,3528.94,6485.64
SKU0085,Decor,Lighting,2024-01-19,173.62,288.55
SKU0086,Small Appliances,Heaters,2024-04-29,3844.93,6415.95
SKU0087,Small Appliances,Kettles,2025-01-21,3186.83,8303.53
SKU0088,Furnishings,Sofas,2024-03-03,2344.71,5848.24
SKU0089,Small Appliances,Blenders,2024-03-18,3345.6,6127.97
SKU0090,Decor,Rugs,2025-05-05,2810.21,4680.12
SKU0091,Furnishings,Sofas,2025-03-18,3236.67,5851.1
SKU0092,Furnishings,Chairs,2025-05-05,2144.74,5449.56
SKU0093,Decor,Rugs,2024-03-13,4265.21,8366.68
SKU0094,Decor,Wall Art,2024-11-20,4241.59,7542.08
SKU0095,Decor,Lighting,2024-08-25,668.6,1177.35
SKU0096,Furnishings,Chairs,2024-08-01,2807.8,6630.77
SKU0097,Decor,Lighting,2024-04-18,2709.13,5365.29
SKU0098,Decor,Rugs,2024-08-25,1131.33,2587.29
SKU0099,Decor,Rugs,2024-11-19,2988.08,5914.78
SKU0100,Decor,Wall Art,2024-08-03,2873.15,5840.51
SKU0101,Decor,Rugs,2025-03-19,4156.6,9162.64
SKU0102,Small Appliances,Kettles,2024-06-06,3792.61,8317.08
SKU0103,Furnishings,Tables,2025-02-24,391.72,758.66
SKU0104,Furnishings,Tables,2024-06-05,3380.71,5468.7
SKU0105,Small Appliances,Blenders,2024-07-05,818.22,1899.1
SKU0106,Furnishings,Chairs,2025-04-24,4480.27,11319.52
SKU0107,decor,Wall Art,2024-12-18,1837.11,4352.24
SKU0108,Furnishings,Tables,2024-09-19,862.32,1551.39
SKU0109,Small Appliances,Heaters,2024-10-04,3799.95,10595.73
SKU0110,Decor,Lighting,2024-07-15,498.21,1248.71
SKU0111,Decor,Lighting,2024-03-16,937.03,2519.23
SKU0112,Furnishings,Sofas,2024-05-26,2282.36,5257.95
SKU0113,Furnishings,Sofas,2024-05-01,3819.61,9033.78
SKU0114,Decor,Lighting,2025-01-16,402.77,821.62
SKU0115,Furnishings,Tables,2025-02-26,2249.19,5673.25
SKU0116,Decor,Rugs,2025-03-30,2703.99,7085.34
SKU0117,Decor,Lighting,2024-09-22,606.66,1260.8
SKU0118,decor,Rugs,2024-03-29,1624.02,2971.83
SKU0119,small appliances,Heaters,2024-08-12,1487.78,3448.93
SKU0120,Furnishings,Sofas,2024-12-17,2906.9,8075.85
SKU0121,Decor,Lighting,2025-01-15,4079.48,10055.25
SKU0122,Small Appliances,Blenders,2025-03-09,646.35,1602.23
SKU0123,Decor,Lighting,2024-11-23,4368.7,12151.51
SKU0124,Decor,Lighting,2025-01-09,1657.24,2897.92
